sentence_id,anchor_text,link_type
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Belgrano,external
money-heist_sentence_0000001,Buenos Aires,external
money-heist_sentence_0000001,Argentina,external
money-heist_sentence_0000001,Argentine,external
money-heist_sentence_0000001,Palermo,internal
money-heist_sentence_0000001,We're Back,internal
money-heist_sentence_0000003,Palermo,internal
money-heist_sentence_0000003,Money Heist,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Bogotá,internal
money-heist_sentence_0000001,Nairobi,internal
money-heist_sentence_0000001,Tokyo,internal
money-heist_sentence_0000001,Rio,internal
money-heist_sentence_0000001,Alfonso,internal
money-heist_sentence_0000001,Agustín Montero,internal
money-heist_sentence_0000001,Marseille,internal
money-heist_sentence_0000001,Denver,internal
money-heist_sentence_0000001,Stockholm,internal
money-heist_sentence_0000001,Helsinki,internal
money-heist_sentence_0000001,Manila,internal
money-heist_sentence_0000001,Palermo,internal
money-heist_sentence_0000001,The Professor,internal
money-heist_sentence_0000001,Lisbon,internal
money-heist_sentence_0000001,Marseille,internal
money-heist_sentence_0000001,Arturo Román,internal
money-heist_sentence_0000001,Suárez,internal
money-heist_sentence_0000001,Luis Tamayo,internal
money-heist_sentence_0000001,Bank of Spain,internal
money-heist_sentence_0000001,3,internal
money-heist_sentence_0000001,4,internal
money-heist_sentence_0000001,5,internal
money-heist_sentence_0000001,[1],other
money-heist_sentence_0000001,48 Meters Underground,internal
money-heist_sentence_0000001,A Family Tradition,internal
money-heist_sentence_0000001,Bank of Spain,internal
money-heist_sentence_0000002,Bogotá,internal
money-heist_sentence_0000004,Nairobi,internal
money-heist_sentence_0000004,Bogotá,internal
money-heist_sentence_0000006,Nairobi,internal
money-heist_sentence_0000006,Bogotá,internal
money-heist_sentence_0000010,Arturo Román,internal
money-heist_sentence_0000011,Manila,internal
money-heist_sentence_0000014,Festival of San Fermín,external
money-heist_sentence_0000015,Ernest Hemingway,external
money-heist_sentence_0000015,The Sun Also Rises,external
money-heist_sentence_0000016,Tamayo,internal
money-heist_sentence_0000001,Alicia Sierra,internal
money-heist_sentence_0000001,Victoria,internal
money-heist_sentence_0000001,Alicia Sierra,internal
money-heist_sentence_0000004,Part 5,internal
money-heist_sentence_0000006,Bank of Spain Heist,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Pamplona,external
money-heist_sentence_0000001,Navarre,external
money-heist_sentence_0000001,Spain,external
money-heist_sentence_0000001,Spanish,external
money-heist_sentence_0000001,Alicia Sierra,internal
money-heist_sentence_0000001,We're Back,internal
money-heist_sentence_0000001,The Paris Plan,internal
money-heist_sentence_0000001,Alicia Sierra,internal
money-heist_sentence_0000001,Money Heist,internal
money-heist_sentence_0000011,Alba Flores,internal
money-heist_sentence_0000014,Úrsula Corberó,internal
money-heist_sentence_0000015,Money Heist,internal
money-heist_sentence_0000015,Alicia Sierra,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Raquel Murillo,internal
money-heist_sentence_0000001,Laura Murillo,internal
money-heist_sentence_0000001,Paula Vicuña Murillo,internal
money-heist_sentence_0000001,Alberto Vicuña,internal
money-heist_sentence_0000001,[1],other
money-heist_sentence_0000001,The Professor,internal
money-heist_sentence_0000001,1,internal
money-heist_sentence_0000001,2,internal
money-heist_sentence_0000001,3,internal
money-heist_sentence_0000001,4,internal
money-heist_sentence_0000001,Kiti Mánver,internal
money-heist_sentence_0000001,Barbara Goodson,external
money-heist_sentence_0000001,[2],other
money-heist_sentence_0000001,[3],other
money-heist_sentence_0000001,Episode 2 (Part 1),internal
money-heist_sentence_0000001,Anatomy Lesson,internal
money-heist_sentence_0000001,Raquel Murillo,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Nairobi,internal
money-heist_sentence_0000003,Bank of Spain,internal
money-heist_sentence_0000003,Nairobi,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Berlin,internal
money-heist_sentence_0000001,The Professor,internal
money-heist_sentence_0000001,We're Back,internal
money-heist_sentence_0000001,Berlin,internal
money-heist_sentence_0000001,Royal Mint of Spain,internal
money-heist_sentence_0000002,Bank of Spain,internal
money-heist_sentence_0000002,Tatiana,internal
money-heist_sentence_0000002,Berlin's Wedding,internal
money-heist_sentence_0000005,João,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Bogotá,internal
money-heist_sentence_0000001,Nairobi,internal
money-heist_sentence_0000001,Tokyo,internal
money-heist_sentence_0000001,Rio,internal
money-heist_sentence_0000001,Marseille,internal
money-heist_sentence_0000001,Denver,internal
money-heist_sentence_0000001,Stockholm,internal
money-heist_sentence_0000001,Helsinki,internal
