timestamp,domain,retriever,reranker,stage,version,corpus_representation,corpus_granularity,query_context_mode,anchor_preprocessing,n_queries,n_articles,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,recall_at_50,recall_at_100,mrr,notes
2026-02-25 03:51:25,beverlyhillscop,bm25,,retrieval,1,title_full,article,anchor_sentence,raw,141,129,0.0638,0.2837,0.3546,0.4823,0.7589,0.9007,0.9929,0.2183,
2026-02-25 03:51:25,beverlyhillscop,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,1,title_full,article,anchor_sentence,raw,141,129,0.227,0.5532,0.6028,0.7021,0.7589,0.7589,0.7589,0.4088,
2026-02-25 03:51:25,beverlyhillscop,bm25,,retrieval,2,title_full,article,anchor_sentence,raw,141,129,0.0284,0.0426,0.0426,0.1277,0.3404,0.5035,0.844,0.0731,
2026-02-25 03:51:25,beverlyhillscop,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,2,title_full,article,anchor_sentence,raw,141,129,0.1277,0.1915,0.234,0.3404,0.3404,0.3404,0.3404,0.1879,
2026-02-25 03:51:25,beverlyhillscop,bm25,,retrieval,3,title_full,article,anchor_sentence,raw,141,129,0.0496,0.2766,0.3759,0.5248,0.766,0.922,0.9929,0.2109,
2026-02-25 03:51:25,beverlyhillscop,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,3,title_full,article,anchor_sentence,raw,141,129,0.1206,0.383,0.3901,0.5461,0.766,0.766,0.766,0.2744,
2026-02-25 03:51:25,beverlyhillscop,bm25,,retrieval,4,title_full,article,anchor_sentence,raw,141,129,0.0638,0.2908,0.3688,0.4894,0.7801,0.9078,0.9929,0.2196,
2026-02-25 03:51:25,beverlyhillscop,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,4,title_full,article,anchor_sentence,raw,141,129,0.2908,0.6099,0.6809,0.766,0.7801,0.7801,0.7801,0.4677,
2026-02-25 03:51:25,beverlyhillscop,bm25,,retrieval,5,title_full,article,anchor_sentence,raw,141,129,0.0071,0.1773,0.3333,0.3546,0.4397,0.617,0.922,0.1349,
2026-02-25 03:51:25,beverlyhillscop,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,5,title_full,article,anchor_sentence,raw,141,129,0.1489,0.2695,0.3191,0.4397,0.4397,0.4397,0.4397,0.2169,
2026-02-25 03:51:25,beverlyhillscop,bm25,,retrieval,6,title_full,article,anchor_sentence,raw,141,129,0.0355,0.0355,0.0993,0.1702,0.3404,0.4043,0.8723,0.0765,
2026-02-25 03:51:25,beverlyhillscop,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,6,title_full,article,anchor_sentence,raw,141,129,0.234,0.234,0.3404,0.3404,0.3404,0.3404,0.3404,0.2606,
2026-02-25 03:51:25,beverlyhillscop,bm25,,retrieval,7,title_full,article,anchor_sentence,raw,141,129,0.0142,0.0355,0.0638,0.0851,0.3191,0.5106,0.8794,0.0599,
2026-02-25 03:51:25,beverlyhillscop,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,7,title_full,article,anchor_sentence,raw,141,129,0.1702,0.3191,0.3191,0.3191,0.3191,0.3191,0.3191,0.227,
